Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
Castellana;;2;32;62;337;95.0;Castellana;Salamanca;House;Private room;2;1.0;1.0;1.0;Real Bed;80.0;;1;0;flexible;;2;1125
Palacio;200.0;0;0;10;10;100.0;Palacio;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;25.0;;1;0;strict;;4;1125
;;0;0;17;17;100.0;Niño Jesús;Retiro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;25.0;10.0;1;0;flexible;;2;3
;;5;24;46;128;89.0;Rios Rosas;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;70.0;;1;0;flexible;;2;1125
La Latina;150.0;9;18;29;224;96.0;Embajadores;Centro;Apartment;Entire home/apt;6;2.5;2.0;4.0;Pull-out Sofa;80.0;20.0;1;0;moderate;;1;15
;;4;4;7;70;93.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;26.0;;1;0;strict;;2;15
;;2;2;16;265;92.0;Adelfas;Retiro;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;90.0;30.0;1;0;moderate;;2;1125
;;4;18;42;46;100.0;Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;80.0;18.0;1;0;strict;;3;1125
La Latina;;8;33;63;154;95.0;Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;62.0;15.0;1;0;strict;;2;1125
Pacifico;150.0;11;35;65;155;97.0;Pacífico;Retiro;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;100.0;;1;0;moderate;;2;1125
;;0;0;30;305;100.0;Trafalgar;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;50.0;30.0;1;0;strict;;1;1125
